ID,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
77,63,50,133.1041552,783,201,0,2649.015822,1517.20997,19,13,iPhone
80,116,93,436.0601833,1584,283,62,4183.409514,3121.889952,18,15,iPhone
98,78,64,583.4927887,3414,0,0,1811.140893,642.1891216,12,11,Android
111,106,102,113.3790556,2228,14,0,2817.48184,2011.724274,17,13,Android
142,32,26,222.12931,208,55,10,2459.816477,874.4276172,11,7,iPhone
162,3,3,17.25022014,3203,22,0,11819.36633,3351.019594,3,0,iPhone
176,283,226,529.5339436,1110,6,0,3028.6013,2489.697005,17,11,iPhone
199,27,23,196.8396051,2800,156,0,11579.5651,3373.482562,23,18,iPhone
266,70,58,137.1512793,3264,45,0,1305.946778,996.394443,21,18,Android
283,170,137,354.2976621,869,18,25,3914.401147,2500.266993,3,2,Android
288,199,159,248.5608538,2959,127,0,5285.296516,1383.3253,29,20,Android
301,73,60,268.3285197,164,12,97,1811.870085,922.1091853,28,26,iPhone
309,95,81,140.0939743,58,151,79,5847.252244,2656.0579,30,28,iPhone
313,207,175,351.947218,422,119,17,2090.096785,779.048037,5,5,Android
330,121,97,203.6034511,405,16,0,1572.853676,1213.968373,0,0,iPhone
333,87,70,253.1402342,2461,230,0,3654.784978,788.4801164,12,12,iPhone
446,33,30,43.43324697,1240,0,0,1608.596461,474.6238715,23,19,Android
454,2,2,46.74188643,1680,51,0,6822.713755,4850.783454,5,5,iPhone
485,0,0,90.74746615,579,229,0,1363.20614,66.58849334,15,11,iPhone
495,7,6,62.10185332,202,57,148,5245.29866,3699.588202,6,6,Android
574,116,96,124.9672438,952,34,0,4626.352023,3398.917717,2,0,iPhone
592,38,31,206.5578046,1852,214,0,4290.384463,2669.316885,20,16,iPhone
658,6,6,200.8546865,692,0,0,1813.484596,1131.874772,27,24,iPhone
677,16,16,237.7061548,1598,0,0,4376.21809,3154.184912,7,7,iPhone
690,4,4,64.27106133,3375,389,77,2383.058247,1693.76294,5,5,Android
712,86,71,261.8245093,106,56,0,2161.212317,930.2563884,9,6,Android
718,400,321,497.1180536,1884,0,0,4344.17395,512.1110058,19,17,iPhone
747,268,215,302.2818373,1185,108,0,3015.101378,2137.981982,27,21,iPhone
753,18,14,347.1359835,1728,171,0,2323.325762,1028.004191,16,16,iPhone
773,140,125,345.0648904,3458,0,9,4189.778737,1192.007707,8,4,Android
780,20,16,41.73059916,2845,47,0,1245.857868,482.9914435,15,13,iPhone
814,30,26,287.5648197,1545,13,12,8706.508909,6499.916219,6,1,iPhone
833,48,45,63.40983918,1646,83,0,435.9880365,362.2823563,13,9,Android
866,77,75,91.86242574,88,2,0,3875.454263,1506.39788,1,1,iPhone
874,12,11,17.17880646,633,0,0,1007.982844,615.9832754,21,21,iPhone
913,97,79,103.7890211,2372,18,33,4875.183886,2688.81259,13,6,Android
928,3,2,13.32364279,230,0,19,2704.934379,318.1731053,3,0,iPhone
929,350,281,1076.879741,3128,245,102,1623.891915,960.978154,14,7,iPhone
933,63,63,204.7677601,1872,8,29,3898.650193,708.619004,14,6,iPhone
936,3,3,145.9316688,1435,0,17,3112.445252,1659.03451,30,26,Android
945,39,32,40.22703776,2364,110,15,5720.64286,1116.091201,5,5,Android
1010,41,41,106.8090825,1509,0,0,4751.001252,2569.584302,22,20,iPhone
1030,16,15,64.50610209,1754,157,37,6298.8297,4744.27775,27,21,iPhone
1052,1,1,5.582648005,1175,604,17,813.2290361,648.1673896,21,16,iPhone
1055,38,38,165.0641073,2787,431,0,7695.277648,973.1862946,24,17,Android
1060,103,83,142.6603757,190,143,37,4248.872375,1418.688573,15,13,Android
1085,73,59,102.4704768,706,59,0,1354.753799,859.444852,4,1,iPhone
1099,30,30,177.9537553,884,22,35,4344.796711,2747.831339,5,5,iPhone
1122,32,26,77.14918662,2077,49,0,4139.32106,2713.19265,23,21,Android
1138,107,90,195.279464,1789,153,0,4256.532635,2439.737458,7,7,iPhone
1161,189,152,244.5214445,2214,0,158,2546.284232,424.3221903,7,5,Android
1169,1,1,198.4042064,1417,101,13,1694.77159,1038.880062,5,4,iPhone
1200,48,39,218.437549,1831,105,47,5370.810424,1662.032954,10,6,iPhone
1249,162,130,317.6683044,620,80,34,5256.090976,1383.498368,30,26,iPhone
1269,26,26,32.31470478,446,0,0,5571.712455,4034.728184,8,3,iPhone
1271,14,11,88.88364073,900,295,1,9333.008415,1811.498949,0,0,iPhone
1288,28,25,327.7666422,1007,2,4,3559.641199,1214.661207,13,11,iPhone
1307,14,14,100.7807151,678,310,19,7780.191176,1753.747622,12,8,iPhone
1339,56,56,261.5027903,2140,668,115,7654.453207,1871.940784,17,17,Android
1343,137,110,304.910702,1832,0,0,5124.228772,2268.265609,11,8,Android
1349,517,414,740.1698656,1176,0,68,2639.340773,1581.83103,28,25,Android
1455,14,12,33.78760298,747,254,12,1474.598899,398.6355889,0,0,iPhone
1462,42,42,249.4601817,1201,110,4,3740.046853,820.4749476,21,18,iPhone
1472,241,194,290.3846876,1583,78,6,4865.101025,533.1137706,28,21,iPhone
1527,120,96,173.962179,497,0,6,2486.505598,1220.972697,19,12,iPhone
1539,39,32,205.954839,2681,17,0,3087.877646,1072.326109,9,9,Android
1559,1,1,252.687181,2482,223,74,5593.851511,3217.007276,8,2,iPhone
1580,139,112,148.5841833,705,7,0,5885.816266,1958.169672,6,6,iPhone
1587,76,76,100.6519742,3162,75,20,1620.176483,778.8929741,1,0,Android
1612,27,22,169.355916,3292,138,34,2814.643851,999.8169807,14,10,iPhone
1656,159,127,218.9629279,2231,394,0,2986.568135,1804.897284,3,0,iPhone
1668,62,50,297.3622448,2454,0,22,1513.714719,979.3300006,29,26,iPhone
