ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device_Android,device_iPhone
0,1,283,147.75,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,True,False
1,1,133,107.0,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,False,True
2,1,114,95.0,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,True,False
3,1,49,40.0,67.58922127,15,322,7,913.5911231,587.1965423,7,3,False,True
4,1,84,68.0,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,True,False
5,1,113,103.0,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,False,True
6,1,3,2.0,236.7253142,360,185,18,5249.172828,726.5772047,28,23,False,True
7,1,39,35.0,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,False,True
8,1,57,46.0,183.5320177,424,0,26,2651.709764,1594.342984,25,20,True,False
9,0,84,68.0,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,False,True
10,1,23,20.0,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,False,True
11,1,125,100.0,357.1790311,487,3,7,2284.819767,1034.651333,1,1,False,True
12,1,51,41.0,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,False,True
13,1,80,64.0,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,True,False
14,0,72,66.0,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,True,False
15,1,23,22.0,95.2921595,50,193,0,2188.829771,1775.713499,11,10,False,True
16,1,30,25.0,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,True,False
17,0,272,147.75,564.2714848,88,0,90,3529.33898,2078.426838,11,11,True,False
18,1,48,38.0,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,True,False
19,1,106,98.0,170.9254705,87,0,6,8566.541401,2534.595126,22,20,False,True
20,1,52,42.0,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,False,True
21,1,148,119.0,168.8281397,501,77,28,2170.296817,551.9648276,21,21,False,True
22,0,73,60.0,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,False,True
23,0,29,23.0,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,False,True
24,1,3,3.0,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,True,False
25,1,0,0.0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,True,False
26,1,132,106.0,160.2585518,112,199,28,4828.974928,3178.144689,13,9,True,False
27,0,5,5.0,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,False,True
28,1,64,54.0,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,False,True
29,1,57,46.0,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,True,False
30,1,78,66.0,484.5716429,2381,106,21,10573.01978,6978.070441,31,26,False,True
31,1,46,37.0,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,False,True
32,1,38,34.0,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,False,True
33,1,291,147.75,568.7227649,275,39,9,2578.7202,1703.292389,15,15,False,True
34,1,126,101.0,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,False,True
35,1,156,127.0,780.9466294,101,113,0,1944.771913,646.9535456,18,18,False,True
36,1,75,60.0,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,True,False
37,1,16,14.0,103.8941155,443,0,5,8786.114497,7181.044427,19,19,True,False
38,1,95,78.0,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,False,True
39,1,91,91.0,123.8217255,470,0,86,3423.421216,2355.455086,29,26,False,True
40,1,105,91.0,115.0010192,655,14,11,1822.449032,1197.962657,24,24,True,False
41,1,20,17.0,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,False,True
42,1,165,132.0,309.913971,2567,293,76,4673.201532,2119.32992,20,17,True,False
43,1,133,106.0,182.484696,2595,185,52,4422.867487,2012.308708,8,2,True,False
44,1,26,22.0,132.0307891,921,272,7,632.1399703,420.7125087,30,24,True,False
45,1,25,25.0,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,False,True
46,0,114,105.0,309.5828548,189,11,7,4285.245618,2322.605058,9,4,False,True
47,0,23,20.0,24.75851394,552,65,14,1564.220191,821.8420876,3,3,False,True
48,0,48,42.0,223.2527291,757,335,28,9947.593149,3369.145354,8,2,False,True
49,1,62,51.0,113.8218829,694,274,42,3826.387247,2916.712292,26,21,True,False
50,1,7,7.0,36.67792977,2794,274,18,1130.116953,723.0277468,8,8,False,True
51,1,67,57.0,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,True,False
52,1,4,4.0,62.62085256,3291,65,0,4996.233445,1345.047896,28,23,False,True
53,1,84,68.0,123.517569,3286,74,145,1558.791847,1201.028705,17,15,False,True
54,1,12,10.0,21.82921966,3365,26,0,2900.68855,1698.26517,14,7,True,False
55,1,20,18.0,110.2701495,724,70,0,4418.959399,1660.205994,7,3,False,True
56,0,150,127.0,187.7083464,2028,208,132,1396.461977,496.6208911,0,0,False,True
57,1,41,33.0,176.6673157,2257,86,9,2493.388001,1103.630334,5,4,True,False
58,1,44,35.0,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,False,True
59,1,23,20.0,24.46477623,1924,169,0,11556.27748,4966.840886,27,26,True,False
60,1,49,42.0,68.3160358,1195,132,9,2702.164267,244.0548921,31,20,False,True
61,1,43,35.0,236.7279571,1756,29,53,1461.93937,954.0503968,8,8,False,True
62,1,69,56.0,81.66585433,1356,373,0,11014.87014,9143.800241,24,23,False,True
63,1,253,147.75,298.6736471,1546,0,88,4695.169432,2146.467081,6,1,False,True
64,1,4,3.0,113.8187866,1830,233,0,9624.439528,3213.049582,6,0,True,False
65,1,12,12.0,478.4156826,1796,69,35,6931.284783,4643.478348,23,22,True,False
66,1,150,121.0,270.5629064,1347,0,0,1791.379149,253.7758791,30,26,False,True
67,0,36,29.0,50.08943164,1167,139,0,3215.221847,1594.991577,1,1,False,True
68,1,25,21.0,66.56667195,1619,147,11,3554.923388,2616.219443,19,18,False,True
69,1,36,30.0,132.3810261,2384,7,0,2485.994087,1197.510681,10,4,False,True
70,0,62,51.0,327.5779296,2285,381,0,5270.991501,2571.449828,16,16,True,False
71,1,248,147.75,248.3113428,2849,87,0,3377.481893,2032.029458,8,5,False,True
