ID,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
323,115.0,92.0,187.3888153,1695.0,116.0,15.0,4477.163148,2212.245305,23.0,20.0,1
4138,43.0,35.0,55.83539873,397.0,86.0,0.0,3978.635105,1192.298253,25.0,18.0,0
2021,61.0,52.0,118.3158245,3262.0,8.0,25.0,7397.495262,1365.538771,26.0,24.0,0
9697,17.0,14.0,78.68820483,1430.0,0.0,45.0,1446.529283,566.7584789,22.0,17.0,0
6080,45.0,37.0,239.0272561,3358.0,7.0,3.0,3881.077337,1383.864132,7.0,1.0,0
9071,63.0,51.0,249.3674746,2050.0,98.0,76.0,9372.671659,3501.114059,20.0,18.0,1
6631,245.5,205.0,497.6002012624999,3451.0,129.0,0.0,7664.557028,4945.62149855,4.0,4.0,1
13742,114.0,93.0,317.7021736,1982.0,400.0,19.0,6268.051374,1473.71658,4.0,4.0,1
14755,131.0,105.0,193.5703511,2528.0,78.0,107.5,2343.559959,1907.346826,6.0,1.0,1
8535,12.0,10.0,234.3882801,2587.0,38.0,0.0,7915.46578,3184.305442,17.0,13.0,0
8214,4.0,4.0,407.5556824,2693.0,148.0,0.0,2927.8085,567.0654901,16.0,11.0,0
11550,23.0,21.0,80.29613302,1931.0,51.0,65.0,4415.158681,2205.25555,27.0,24.0,1
13367,16.0,14.0,62.51131855,637.0,6.0,16.0,2104.821161,935.9709675,27.0,17.0,1
13220,245.5,205.0,313.4284297,3190.0,218.0,0.0,2282.964591,1588.665351,15.0,11.0,0
12842,8.0,7.0,97.85320086,780.0,0.0,43.0,7174.538649,3326.335729,22.0,18.0,1
9003,17.0,16.0,217.1854796,2964.0,102.0,0.0,9960.681768,3667.940296,17.0,17.0,0
7535,123.0,100.0,139.5407176,1246.0,27.0,35.0,9960.681768,4945.62149855,28.0,27.0,1
13315,207.0,166.0,220.4888609,475.0,42.0,19.0,641.5257267,486.769019,22.0,16.0,1
11625,13.0,11.0,223.1786818,1369.0,10.0,0.0,1704.411074,1301.490295,26.0,24.0,1
2325,1.0,1.0,24.72018778,784.0,27.0,0.0,264.6544075,127.5313112,29.0,24.0,1
3587,80.0,64.0,284.6867466,2155.0,435.0,1.0,7860.127674,3888.048661,11.0,4.0,1
13636,104.0,104.0,334.6177575,1652.0,192.0,107.5,1663.099767,874.974199,22.0,16.0,1
5837,69.0,56.0,84.12889644,2899.0,240.0,107.5,4049.120892,2678.917953,5.0,5.0,0
389,113.0,91.0,179.7870992,3229.0,64.0,49.0,5349.908121,2001.21162,27.0,17.0,1
8140,15.0,12.0,42.10873599,3363.0,5.0,32.0,7926.083056,2214.31831,1.0,0.0,0
1325,33.0,28.0,192.5252993,2247.0,17.0,0.0,8694.203076,1372.584701,9.0,4.0,1
7606,214.0,172.0,476.754585,3361.0,14.0,31.0,2220.82153,826.840733,20.0,13.0,1
10182,245.5,205.0,393.2338964,1894.0,102.0,0.0,9960.681768,2181.18057,9.0,5.0,1
9758,54.0,44.0,233.038966,142.0,19.0,107.5,1076.770721,882.7146395,4.0,1.0,0
13268,19.0,15.0,219.2220147,2206.0,0.0,27.0,5185.247236,2833.832533,24.0,19.0,1
1611,111.0,89.0,242.8853395,163.0,303.0,16.0,5659.498249,3111.643965,1.0,1.0,0
42,165.0,132.0,309.913971,2567.0,293.0,76.0,4673.201532,2119.32992,20.0,17.0,0
